id,employee_name,wage,month,year,time_worked
47,Marcin Marciniak,8214.1,July,2022,191.6
48,Sylwia Salamon,5466.17,July,2022,194.3
49,Dominik Dąbrowski,5009.93,July,2022,184.4
50,Anna Antoniuk,11014.29,August,2022,192.1
51,Jan Jerzmanowski,9561.53,August,2022,190.4
52,Krzysztof Kosiniak,6305.63,August,2022,193.0
53,Daniel Jeleń,5997.82,August,2022,163.1
54,Marcin Marciniak,5833.0,August,2022,168.9
55,Sylwia Salamon,9918.81,August,2022,189.1
56,Dominik Dąbrowski,11153.94,August,2022,174.9
57,Anna Antoniuk,11046.36,September,2022,165.1
58,Jan Jerzmanowski,6831.39,September,2022,182.4
59,Krzysztof Kosiniak,8001.87,September,2022,191.5
60,Daniel Jeleń,9454.5,September,2022,165.6
61,Marcin Marciniak,9806.23,September,2022,183.5
62,Sylwia Salamon,6515.88,September,2022,179.1
63,Dominik Dąbrowski,8630.61,September,2022,176.4
64,Anna Antoniuk,11697.35,October,2022,171.3
65,Jan Jerzmanowski,8466.61,October,2022,170.7
66,Krzysztof Kosiniak,6516.03,October,2022,177.5
67,Daniel Jeleń,8399.36,October,2022,199.9
68,Marcin Marciniak,5433.73,October,2022,169.6
69,Sylwia Salamon,8755.64,October,2022,163.1
70,Dominik Dąbrowski,10577.77,October,2022,177.0
71,Anna Antoniuk,7730.46,November,2022,173.2
72,Jan Jerzmanowski,5569.39,November,2022,195.7
73,Krzysztof Kosiniak,10103.95,November,2022,192.4
74,Daniel Jeleń,7530.87,November,2022,197.2
75,Marcin Marciniak,7616.72,November,2022,183.1
76,Sylwia Salamon,8609.78,November,2022,195.8
77,Dominik Dąbrowski,5303.45,November,2022,160.7
78,Anna Antoniuk,7970.66,December,2022,182.9
79,Jan Jerzmanowski,11157.7,December,2022,194.5
80,Krzysztof Kosiniak,10874.08,December,2022,165.6
81,Daniel Jeleń,7354.06,December,2022,175.3
82,Marcin Marciniak,7648.33,December,2022,198.0
83,Sylwia Salamon,6365.23,December,2022,160.5
84,Dominik Dąbrowski,7386.67,December,2022,198.5
85,Anna Antoniuk,8336.62,January,2023,172.6
86,Jan Jerzmanowski,7802.24,January,2023,179.8
87,Krzysztof Kosiniak,9160.93,January,2023,179.6
88,Daniel Jeleń,10635.97,January,2023,190.0
89,Marcin Marciniak,9914.09,January,2023,166.0
90,Sylwia Salamon,5625.96,January,2023,170.2
91,Dominik Dąbrowski,11064.99,January,2023,189.3
92,Anna Antoniuk,11281.25,February,2023,170.3
93,Jan Jerzmanowski,6895.94,February,2023,184.5
94,Krzysztof Kosiniak,9233.66,February,2023,196.0
95,Daniel Jeleń,11274.89,February,2023,162.4
96,Marcin Marciniak,8715.13,February,2023,189.9
97,Sylwia Salamon,7208.92,February,2023,196.1
98,Dominik Dąbrowski,5301.52,February,2023,199.3
99,Anna Antoniuk,6495.12,March,2023,188.0
100,Jan Jerzmanowski,8417.01,March,2023,183.4
101,Krzysztof Kosiniak,9414.06,March,2023,182.6
102,Daniel Jeleń,10078.03,March,2023,160.1
103,Marcin Marciniak,8747.63,March,2023,167.3
104,Sylwia Salamon,10035.15,March,2023,193.4
105,Dominik Dąbrowski,8903.65,March,2023,199.6
106,Anna Antoniuk,8113.84,April,2023,184.9
107,Jan Jerzmanowski,5025.16,April,2023,161.1
108,Krzysztof Kosiniak,6644.22,April,2023,173.9
109,Daniel Jeleń,6197.68,April,2023,194.2
110,Marcin Marciniak,6605.17,April,2023,171.2
111,Sylwia Salamon,8820.92,April,2023,171.2
112,Dominik Dąbrowski,5815.97,April,2023,187.2
113,Anna Antoniuk,10748.23,May,2023,161.8
114,Jan Jerzmanowski,9560.64,May,2023,196.8
115,Krzysztof Kosiniak,6144.96,May,2023,184.6
116,Daniel Jeleń,5128.54,May,2023,194.4
117,Marcin Marciniak,9000.19,May,2023,177.1
118,Sylwia Salamon,11987.25,May,2023,170.0
119,Dominik Dąbrowski,7432.13,May,2023,161.9
120,Anna Antoniuk,11410.89,June,2023,197.5
121,Jan Jerzmanowski,5117.65,June,2023,166.7
122,Krzysztof Kosiniak,9438.99,June,2023,161.8
123,Daniel Jeleń,9594.13,June,2023,198.6
124,Marcin Marciniak,8899.81,June,2023,171.4
125,Sylwia Salamon,11562.98,June,2023,185.1
126,Dominik Dąbrowski,7630.65,June,2023,179.1
127,Anna Antoniuk,9129.65,July,2023,197.3
128,Jan Jerzmanowski,10438.44,July,2023,190.6
129,Krzysztof Kosiniak,7377.79,July,2023,163.0
130,Daniel Jeleń,8275.34,July,2023,166.9
131,Marcin Marciniak,5604.56,July,2023,191.2
132,Sylwia Salamon,6688.21,July,2023,172.6
133,Dominik Dąbrowski,5888.35,July,2023,174.3
134,Anna Antoniuk,5159.84,August,2023,189.6
135,Jan Jerzmanowski,11654.09,August,2023,162.2
136,Krzysztof Kosiniak,7803.71,August,2023,181.0
137,Daniel Jeleń,7690.98,August,2023,190.7
138,Marcin Marciniak,8938.29,August,2023,186.2
139,Sylwia Salamon,5808.07,August,2023,200.0
140,Dominik Dąbrowski,11627.04,August,2023,175.6
141,Anna Antoniuk,9496.36,September,2023,186.1
142,Jan Jerzmanowski,9524.27,September,2023,169.4
143,Krzysztof Kosiniak,7870.62,September,2023,191.6
144,Daniel Jeleń,8900.34,September,2023,164.4
145,Marcin Marciniak,11112.68,September,2023,174.7
146,Sylwia Salamon,7774.77,September,2023,172.9
147,Dominik Dąbrowski,9512.11,September,2023,189.5
148,Anna Antoniuk,10521.01,October,2023,183.8
149,Jan Jerzmanowski,5101.05,October,2023,185.6
150,Krzysztof Kosiniak,9330.45,October,2023,172.1
151,Daniel Jeleń,9865.19,October,2023,176.5
152,Marcin Marciniak,7721.43,October,2023,185.0
153,Sylwia Salamon,8345.34,October,2023,190.2
154,Dominik Dąbrowski,11528.56,October,2023,180.6
155,Anna Antoniuk,8618.21,November,2023,170.6
156,Jan Jerzmanowski,9382.22,November,2023,186.3
157,Krzysztof Kosiniak,5381.22,November,2023,188.6
158,Daniel Jeleń,10885.04,November,2023,168.2
159,Marcin Marciniak,11007.45,November,2023,166.7
160,Sylwia Salamon,5468.86,November,2023,192.0
161,Dominik Dąbrowski,9007.26,November,2023,188.8
162,Anna Antoniuk,9274.23,December,2023,180.4
163,Jan Jerzmanowski,5559.44,December,2023,189.2
164,Krzysztof Kosiniak,11918.28,December,2023,173.5
165,Daniel Jeleń,11388.03,December,2023,163.3
166,Marcin Marciniak,7713.78,December,2023,194.5
167,Sylwia Salamon,11378.86,December,2023,199.4
168,Dominik Dąbrowski,5712.71,December,2023,180.9
169,Anna Antoniuk,9200.85,January,2024,198.7
170,Jan Jerzmanowski,8914.95,January,2024,177.6
171,Krzysztof Kosiniak,5589.99,January,2024,197.4
172,Daniel Jeleń,8636.61,January,2024,172.0
173,Marcin Marciniak,8125.13,January,2024,183.0
174,Sylwia Salamon,8056.88,January,2024,195.4
175,Dominik Dąbrowski,9311.98,January,2024,166.3
176,Anna Antoniuk,11197.89,February,2024,162.5
177,Jan Jerzmanowski,6733.61,February,2024,172.2
178,Krzysztof Kosiniak,11505.79,February,2024,164.9
179,Daniel Jeleń,5398.93,February,2024,192.2
180,Marcin Marciniak,11259.47,February,2024,186.9
181,Sylwia Salamon,6320.05,February,2024,177.7
182,Dominik Dąbrowski,11082.11,February,2024,165.2
183,Anna Antoniuk,6937.46,March,2024,190.5
184,Jan Jerzmanowski,11956.93,March,2024,185.2
185,Krzysztof Kosiniak,9001.48,March,2024,165.1
186,Daniel Jeleń,8008.04,March,2024,164.1
187,Marcin Marciniak,11376.08,March,2024,198.9
188,Sylwia Salamon,11706.31,March,2024,164.0
189,Dominik Dąbrowski,9858.52,March,2024,187.9
190,Anna Antoniuk,8804.52,April,2024,198.8
191,Jan Jerzmanowski,9271.79,April,2024,194.3
192,Krzysztof Kosiniak,11062.09,April,2024,170.7
193,Daniel Jeleń,7262.73,April,2024,186.4
194,Marcin Marciniak,11830.57,April,2024,194.8
195,Sylwia Salamon,5395.38,April,2024,183.5
196,Dominik Dąbrowski,6417.76,April,2024,176.8
197,Anna Antoniuk,9362.91,May,2024,181.9
198,Jan Jerzmanowski,9820.77,May,2024,177.9
199,Krzysztof Kosiniak,6685.94,May,2024,175.5
200,Daniel Jeleń,7181.78,May,2024,179.6
201,Marcin Marciniak,11402.3,May,2024,182.5
202,Sylwia Salamon,11490.24,May,2024,164.4
203,Dominik Dąbrowski,5138.28,May,2024,162.2
204,Anna Antoniuk,10350.52,June,2024,173.0
205,Jan Jerzmanowski,7658.85,June,2024,170.7
206,Krzysztof Kosiniak,8147.56,June,2024,193.4
207,Daniel Jeleń,10990.86,June,2024,200.0
208,Marcin Marciniak,6332.19,June,2024,173.4
209,Sylwia Salamon,7561.55,June,2024,175.2
210,Dominik Dąbrowski,9068.33,June,2024,168.6
211,Anna Antoniuk,9874.41,July,2024,177.4
212,Jan Jerzmanowski,9164.95,July,2024,175.0
213,Krzysztof Kosiniak,9099.89,July,2024,196.9
214,Daniel Jeleń,6371.21,July,2024,174.1
215,Marcin Marciniak,9721.9,July,2024,183.6
216,Sylwia Salamon,10710.78,July,2024,171.7
217,Dominik Dąbrowski,6642.51,July,2024,189.3
218,Anna Antoniuk,8562.99,August,2024,199.0
219,Jan Jerzmanowski,10639.19,August,2024,193.2
220,Krzysztof Kosiniak,11265.97,August,2024,196.3
221,Daniel Jeleń,10196.22,August,2024,181.4
222,Marcin Marciniak,10531.49,August,2024,167.5
223,Sylwia Salamon,10566.49,August,2024,177.7
224,Dominik Dąbrowski,7740.94,August,2024,160.3
225,Anna Antoniuk,11764.3,September,2024,199.4
226,Jan Jerzmanowski,7881.81,September,2024,194.1
227,Krzysztof Kosiniak,8900.99,September,2024,193.2
228,Daniel Jeleń,6785.18,September,2024,162.9
229,Marcin Marciniak,10859.78,September,2024,162.4
230,Sylwia Salamon,11758.01,September,2024,184.7
231,Dominik Dąbrowski,5165.59,September,2024,176.6
232,Anna Antoniuk,11092.68,October,2024,170.6
233,Jan Jerzmanowski,9186.37,October,2024,168.1
234,Krzysztof Kosiniak,6206.42,October,2024,184.6
235,Daniel Jeleń,11727.46,October,2024,173.2
236,Marcin Marciniak,7461.74,October,2024,196.4
237,Sylwia Salamon,9938.1,October,2024,191.8
238,Dominik Dąbrowski,10651.26,October,2024,194.9
239,Anna Antoniuk,11324.72,November,2024,182.6
240,Jan Jerzmanowski,8180.93,November,2024,167.3
241,Krzysztof Kosiniak,11722.07,November,2024,195.3
242,Daniel Jeleń,8736.51,November,2024,176.5
243,Marcin Marciniak,7576.39,November,2024,188.1
244,Sylwia Salamon,9175.62,November,2024,196.1
245,Dominik Dąbrowski,6059.2,November,2024,176.6
246,Anna Antoniuk,7084.26,December,2024,177.7
247,Jan Jerzmanowski,10836.63,December,2024,195.8
248,Krzysztof Kosiniak,7168.77,December,2024,196.4
249,Daniel Jeleń,7437.84,December,2024,195.7
250,Marcin Marciniak,10872.6,December,2024,173.8
251,Sylwia Salamon,11262.24,December,2024,194.8
252,Dominik Dąbrowski,11230.41,December,2024,187.5
